#{"t_start": 1781773963.0926418, "env_id": "None"}
r,l,t
1826.0,1000,8.38608
1112.0,1000,9.57228
2515.0,1000,19.397738
2354.0,1000,20.401325
2272.0,1000,32.984621
2553.0,1000,34.803631
1746.0,1000,46.882572
2099.0,1000,48.146482
1825.0,1000,54.162753
1840.0,1000,54.724366
3424.0,1000,61.580172
1420.0,1000,62.353032
2399.0,1000,66.992739
1847.0,1000,67.55474
740.0,1000,71.396464
2551.0,1000,71.852518
1005.0,1000,75.802858
2796.0,1000,76.310713
3255.0,1000,82.235047
1934.0,1000,83.847408
3033.0,1000,89.813798
1486.0,1000,92.90484
4233.0,1000,105.417559
1346.0,1000,110.018231
1843.0,1000,119.913802
2449.0,1000,123.162148
1342.0,1000,129.448089
1378.0,1000,130.355087
2011.0,1000,136.144101
1199.0,1000,136.899231
2137.0,1000,143.982433
2826.0,1000,144.528392
3201.0,1000,149.876511
3066.0,1000,150.76732
1288.0,1000,155.025362
3369.0,1000,155.565969
2887.0,1000,159.908252
3156.0,1000,160.902098
2885.0,1000,163.996799
1632.0,1000,164.903013
2602.0,1000,170.429398
3783.0,1000,173.252019
2840.0,1000,175.933035
3903.0,1000,183.617155
2265.0,1000,186.107105
3820.0,1000,194.241972
3051.0,1000,196.643202
3229.0,1000,209.186105
2596.0,1000,211.672487
3485.0,1000,220.759622
3566.0,1000,223.724869
