#{"t_start": 1781513432.7211847, "env_id": "None"}
r,l,t
2053.0,1000,7.622336
2544.0,1000,9.009353
2999.0,1000,10.414423
2011.0,1000,11.873294
3455.0,1000,13.400125
2380.0,1000,14.957097
2277.0,1000,16.650368
1973.0,1000,18.328835
3408.0,1000,19.429346
2582.0,1000,20.625719
2253.0,1000,21.852227
4240.0,1000,23.424038
2190.0,1000,24.959956
4049.0,1000,26.209949
4148.0,1000,27.513539
4013.0,1000,28.927792
2274.0,1000,30.195245
4162.0,1000,31.843986
829.0,1000,33.662696
4147.0,1000,34.9155
4201.0,1000,36.144781
2981.0,1000,37.599921
2329.0,1000,39.084455
4111.0,1000,41.080335
4255.0,1000,42.811506
4108.0,1000,44.766319
4034.0,1000,46.837908
4154.0,1000,48.358434
3702.0,1000,49.605895
4064.0,1000,51.201166
4082.0,1000,52.528139
2352.0,1000,54.263515
4178.0,1000,56.025016
972.0,1000,57.744151
2520.0,1000,59.404594
4149.0,1000,61.197898
2827.0,1000,62.759042
4240.0,1000,64.412518
1000.0,1000,66.480102
3991.0,1000,69.060354
4091.0,1000,71.034278
4128.0,1000,73.064927
4200.0,1000,75.122602
4167.0,1000,76.834772
4142.0,1000,78.813212
4210.0,1000,80.502969
2522.0,1000,81.860211
362.0,1000,83.378419
2200.0,1000,84.992686
4065.0,1000,86.640176
