#{"t_start": 1782112025.7828636, "env_id": "None"}
r,l,t
3764.0,1000,6.456956
3836.0,1000,7.041951
3533.0,1000,7.668961
4174.0,1000,8.305951
2705.0,1000,8.98496
3970.0,1000,9.705952
3005.0,1000,10.395952
3371.0,1000,11.041952
2556.0,1000,11.772952
2099.0,1000,12.577716
1527.0,1000,13.39876
3931.0,1000,14.114758
2043.0,1000,14.759285
2790.0,1000,15.429285
3188.0,1000,16.112285
3311.0,1000,16.753286
3677.0,1000,17.434285
4153.0,1000,18.139285
1407.0,1000,18.899293
2152.0,1000,19.787285
1413.0,1000,20.504288
4146.0,1000,21.52735
1133.0,1000,22.129351
4580.0,1000,22.982348
4128.0,1000,23.649346
1480.0,1000,24.433352
3972.0,1000,25.102353
2930.0,1000,25.953346
4565.0,1000,26.944348
3992.0,1000,27.725354
4511.0,1000,28.431353
748.0,1000,29.116347
3213.0,1000,30.198346
1139.0,1000,31.303885
3234.0,1000,32.125713
3397.0,1000,33.164714
4748.0,1000,34.021713
2855.0,1000,34.847719
4658.0,1000,35.638766
3112.0,1000,36.605764
4550.0,1000,37.406767
3703.0,1000,38.521763
2806.0,1000,39.334764
3776.0,1000,40.250765
2761.0,1000,41.02777
2553.0,1000,41.956278
2781.0,1000,42.711025
3562.0,1000,43.627423
4359.0,1000,44.580916
4581.0,1000,45.509908
