#{"t_start": 1782370983.9761703, "env_id": "None"}
r,l,t
3481.0,1000,10.354395
3540.0,1000,13.112845
4096.0,1000,15.575664
4036.0,1000,18.460108
4308.0,1000,21.264226
2186.0,1000,26.203507
3684.0,1000,30.160474
2948.0,1000,35.614197
4837.0,1000,40.061241
3259.0,1000,42.959714
2826.0,1000,47.28616
3406.0,1000,50.479161
4292.0,1000,53.018852
2245.0,1000,57.463889
3907.0,1000,60.410475
3720.0,1000,62.731881
3139.0,1000,66.451438
1616.0,1000,68.602747
4204.0,1000,72.006217
3579.0,1000,74.454978
3627.0,1000,79.760543
2223.0,1000,82.96405
3159.0,1000,86.039757
4500.0,1000,89.513821
4365.0,1000,91.441426
3393.0,1000,93.266447
4231.0,1000,95.186895
2443.0,1000,97.223247
2962.0,1000,99.086148
4024.0,1000,100.927264
2434.0,1000,102.96349
3992.0,1000,105.27299
3715.0,1000,107.261459
2699.0,1000,109.391251
3935.0,1000,111.457565
4123.0,1000,113.692691
2196.0,1000,117.197033
3939.0,1000,120.006972
4061.0,1000,121.922951
1890.0,1000,124.260874
4057.0,1000,126.551575
3359.0,1000,128.886868
3311.0,1000,132.147012
3424.0,1000,134.907718
1589.0,1000,140.237094
2491.0,1000,143.441206
2589.0,1000,146.061644
3791.0,1000,147.525842
3707.0,1000,148.972599
4649.0,1000,150.712345
